COVID,Mask,thermometer,isPartial,C_per,M_per,t_per
0,3,1,FALSE,0,0.00280112,0.02
0,3,0,FALSE,0,0.00280112,0
0,4,0,FALSE,0,0.003734827,0
0,3,0,FALSE,0,0.00280112,0
0,3,0,FALSE,0,0.00280112,0
0,3,0,FALSE,0,0.00280112,0
0,3,0,FALSE,0,0.00280112,0
0,3,0,FALSE,0,0.00280112,0
0,4,0,FALSE,0,0.003734827,0
0,7,0,FALSE,0,0.006535948,0
0,6,0,FALSE,0,0.005602241,0
1,5,1,FALSE,0.000240558,0.004668534,0.02
1,4,0,FALSE,0.000240558,0.003734827,0
4,7,0,FALSE,0.000962232,0.006535948,0
8,7,1,FALSE,0.001924465,0.006535948,0.02
31,7,1,FALSE,0.007457301,0.006535948,0.02
78,10,3,FALSE,0.018763531,0.009337068,0.06
100,11,2,FALSE,0.024055809,0.010270775,0.04
94,18,2,FALSE,0.022612461,0.016806723,0.04
83,18,1,FALSE,0.019966322,0.016806723,0.02
78,14,1,FALSE,0.018763531,0.013071895,0.02
72,12,1,FALSE,0.017320183,0.011204482,0.02
69,12,1,FALSE,0.016598509,0.011204482,0.02
66,11,1,FALSE,0.015876834,0.010270775,0.02
62,11,1,FALSE,0.014914602,0.010270775,0.02
60,11,1,FALSE,0.014433486,0.010270775,0.02
56,10,1,FALSE,0.013471253,0.009337068,0.02
52,9,1,FALSE,0.012509021,0.008403361,0.02
52,9,1,FALSE,0.012509021,0.008403361,0.02
53,9,1,FALSE,0.012749579,0.008403361,0.02
59,10,1,FALSE,0.014192928,0.009337068,0.02
61,11,1,FALSE,0.014674044,0.010270775,0.02
62,11,1,FALSE,0.014914602,0.010270775,0.02
69,15,1,FALSE,0.016598509,0.014005602,0.02
62,15,1,FALSE,0.014914602,0.014005602,0.02
63,11,1,FALSE,0.01515516,0.010270775,0.02
60,10,1,FALSE,0.014433486,0.009337068,0.02
56,9,1,FALSE,0.013471253,0.008403361,0.02
53,8,1,FALSE,0.012749579,0.007469655,0.02
52,8,1,FALSE,0.012509021,0.007469655,0.02
51,7,1,FALSE,0.012268463,0.006535948,0.02
53,7,1,FALSE,0.012749579,0.006535948,0.02
52,7,1,FALSE,0.012509021,0.006535948,0.02
53,7,1,FALSE,0.012749579,0.006535948,0.02
